1,Selasar Gedung C Fakultas MIPA,-7.76745,110.37628
2,Satpam Fakultas MIPA,-7.76711,110.37646
3,Sekretariat SMC,-7.76722,110.37642
4,Entrepreneur Lab,-7.76725,110.37664
5,Mushola MIPA Utara,-7.76738,110.37677
6,#lorongSelatanMushola,-7.76745,110.37654
7,Gedung Kelas Lantai 1 S1,-7.76766,110.37659
8,Perpustakaan MIPA,-7.76779,110.37704
9,Gedung Matematika MIPA,-7.76770,110.37751
10,Gedung Kimia MIPA,-7.76716,110.37743
11,Lapangan Basket MIPA,-7.76753,110.37708
12,Lapangan Parkir MIPA,-7.76728,110.37598
13,Gedung Fisika MIPA,-7.76710,110.37564
14,Kantin MIPA,-7.76726,110.37540
15,Stasiun Sepeda MIPA,-7.76732,110.37467
16,Gedung S2 MIPA,-7.76706,110.37624
17,Pendapa MIPA,-7.76753,110.37688
18,#depanKimia,-7.76736,110.37736
19,#antaraPerpusdanMat,-7.76779,110.37728
20,Meja Batu,-7.76745,110.37549